TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.000665222,0.00303584,0.00463571,0.0312383,0.049449,0.00854893,0.00626076,0.0147867,0.00694837,0.00317256,0.0395965,0.0745355,0.0345832,0.00625219,0.00951911,0.00535251,0.0229599,0.0062446,0.0039562,0.0147565,0.0282149,0.0208409,0.0394461,0.073285,0.0521009,0.0227627,0.0107064,0.0127113,0.00289859,0.00978707,0.0180139,0.0244863,0.020638,0.0187839,0.0110842,0.0178528,0.0129006,0.0212572,0.026348,0.0222032,0.00927187,0.00125779,0.00108906,0.0196872,0.0689741,0.0768739,0.0392089,0.00417348,0.000682241,0.00491408,0.00941452,0.0201482,0.0230585,0.019705,0.0189185,0.00077296,0.00689862,0.0073766,0.0478474,0.0557937,0.0130689,0.0392908,0.0443643,0.0280201,0.0431795,0.0407953,0.00383849,0.0148794,0.00175583,0.00413075,0.00650507,0.0262495,0.0755568,0.0663935,0.0121247,0.00585827,0.0100857,0.00801178,0.00839308,0.00602635,0.00790032
1.486077098,0.0013944,0.00373014,0.00832734,0.035902,0.0501666,0.00894657,0.00626076,0.0147867,0.00694837,0.0219281,0.0670641,0.0949618,0.0424131,0.00668428,0.00953014,0.00565367,0.0237735,0.0062446,0.0039562,0.0147565,0.0282149,0.0208409,0.0589695,0.0938504,0.110272,0.0722727,0.0211961,0.0127113,0.00289859,0.00978707,0.0180139,0.0244863,0.0261209,0.0304652,0.0223244,0.0214275,0.0129053,0.0522185,0.0556173,0.0284152,0.0249171,0.015718,0.00403888,0.0268296,0.0826361,0.0795841,0.0392089,0.00417348,0.024433,0.0255116,0.0135821,0.0274913,0.0405866,0.0369655,0.0293393,0.0101478,0.0117767,0.0073766,0.0626886,0.0689583,0.0157676,0.050519,0.0718856,0.0407713,0.0545753,0.057143,0.00978076,0.0148794,0.00175583,0.00951204,0.025922,0.0319369,0.092112,0.103156,0.03959,0.0292536,0.026078,0.0112117,0.00839308,0.00602635,0.00790032
2.972154195,0.0254246,0.00373014,0.00832734,0.035902,0.0501672,0.00899947,0.00626076,0.0147867,0.00694837,0.0231716,0.0891154,0.120241,0.0424131,0.00668428,0.00953014,0.00565367,0.0237735,0.0087207,0.0164874,0.0300707,0.0282149,0.0208409,0.0589695,0.0938504,0.110272,0.0740259,0.0266428,0.0127113,0.00289859,0.00978707,0.0180525,0.0254596,0.030824,0.037211,0.027564,0.0214275,0.0129053,0.0522185,0.0556173,0.0284152,0.0263986,0.0175816,0.00403888,0.0269941,0.085685,0.0851292,0.0399712,0.00508077,0.024433,0.0255116,0.0135821,0.0276165,0.0425767,0.0370168,0.0293393,0.0101478,0.0117793,0.00747758,0.0636432,0.0759152,0.0377871,0.0518265,0.0718856,0.0407713,0.0545754,0.0571452,0.00978076,0.0148933,0.00177336,0.00951204,0.0324584,0.0574343,0.108239,0.103156,0.0454655,0.0370002,0.0265255,0.0112117,0.0083942,0.0060448,0.00790032
4.458231293,0.0326304,0.00379784,0.00832734,0.035902,0.0524298,0.0152132,0.0136117,0.0222407,0.012748,0.0253645,0.0891502,0.120243,0.0425798,0.0139379,0.0224642,0.0113733,0.0238446,0.00929149,0.0165132,0.0300707,0.0305286,0.023237,0.0589949,0.0952143,0.11037,0.0870747,0.0490504,0.0213628,0.00296471,0.00978707,0.0213061,0.027119,0.036298,0.037211,0.027564,0.0214275,0.0129053,0.0522185,0.0796752,0.0802266,0.0738653,0.0435399,0.0109801,0.0269941,0.0906864,0.0912908,0.0399712,0.00508077,0.024433,0.0255116,0.0135821,0.0503738,0.0865668,0.0645088,0.0370474,0.010228,0.0117793,0.00835773,0.0643569,0.0759152,0.0377871,0.0518265,0.0718856,0.0407713,0.0689974,0.0688399,0.00978076,0.0148933,0.00177336,0.00951204,0.0332303,0.0574426,0.109288,0.172166,0.100433,0.0370002,0.0265255,0.0238602,0.00919134,0.0073888,0.00813445
5.944308390,0.0330647,0.0040127,0.00849723,0.0369881,0.0538162,0.0152132,0.0136779,0.0224967,0.0136993,0.0271045,0.0896395,0.120937,0.0432713,0.0145181,0.0231738,0.0126746,0.0248162,0.00929149,0.0165132,0.0300719,0.0307007,0.0237437,0.0593985,0.0953648,0.110594,0.0876228,0.0496016,0.0214482,0.0030283,0.0103033,0.0218485,0.0275043,0.0378901,0.0400344,0.0300992,0.0237469,0.0143,0.0524696,0.0798424,0.0803751,0.0742006,0.0437435,0.0111561,0.0271561,0.0907658,0.0913532,0.0401435,0.00824097,0.0261125,0.0255116,0.0135916,0.0504315,0.0868991,0.0655081,0.0386862,0.011447,0.012122,0.00837952,0.0654056,0.0795087,0.044258,0.0589129,0.0767397,0.0423551,0.0690937,0.0691706,0.0100609,0.0151479,0.00254456,0.0101871,0.0347239,0.06126,0.113762,0.174863,0.102195,0.0381335,0.0265255,0.0238664,0.00919742,0.00777882,0.00860057
7.430385488,0.0333908,0.00663738,0.0112332,0.0376477,0.0549815,0.0168608,0.0142586,0.0224967,0.0136993,0.0271045,0.0896407,0.120937,0.0432713,0.0157781,0.0258094,0.01387,0.0248162,0.00929149,0.0166789,0.0302017,0.0307139,0.0237441,0.0593986,0.107359,0.125359,0.0921383,0.0496016,0.0214482,0.0030283,0.0103145,0.0218683,0.0275043,0.0378905,0.0400347,0.0301327,0.0238076,0.0143006,0.0524696,0.0798429,0.0803786,0.0742035,0.0441634,0.0120666,0.0274566,0.0907748,0.0913595,0.0401447,0.00825225,0.0261189,0.0255456,0.0136546,0.0505545,0.0870247,0.0655435,0.038694,0.011449,0.0121269,0.00839807,0.065409,0.0795194,0.0443297,0.0590433,0.076803,0.0425202,0.0695014,0.0693053,0.0101387,0.0152926,0.00261666,0.010196,0.0347293,0.0612755,0.113779,0.1749,0.102243,0.0381926,0.0266986,0.0240207,0.00927544,0.00784887,0.0086115
8.916462585,0.0334984,0.00663783,0.0112332,0.0379587,0.0559224,0.0175725,0.0142586,0.0224967,0.0137085,0.0277443,0.0915934,0.122458,0.0432713,0.0157781,0.0258094,0.01387,0.0248162,0.00929149,0.0166789,0.0302017,0.0307139,0.0237441,0.0600583,0.108404,0.125401,0.0921383,0.0496133,0.0214575,0.0030283,0.0105781,0.0276983,0.0383212,0.0418655,0.0400347,0.0301327,0.0238076,0.0143006,0.0524696,0.0798429,0.0803786,0.0742035,0.0441634,0.0120666,0.0274566,0.0907748,0.0913595,0.0401447,0.00825225,0.0261189,0.0255456,0.0136546,0.0505545,0.0871061,0.0655975,0.038694,0.0114669,0.081132,0.166992,0.147845,0.0795194,0.0443297,0.0590433,0.076803,0.0425202,0.0695014,0.0693053,0.0101387,0.0152926,0.00261666,0.010196,0.0347293,0.0612755,0.113779,0.1749,0.102243,0.0381926,0.0266986,0.0240207,0.00927544,0.00784887,0.0086115
10.402539683,0.0335062,0.00901583,0.018032,0.0428412,0.0559771,0.0193073,0.0181012,0.0245696,0.0137085,0.0277443,0.0915934,0.122563,0.0433804,0.0157781,0.0258131,0.0159509,0.0279036,0.0094635,0.0166855,0.0315823,0.0324909,0.0237494,0.0600583,0.108981,0.126254,0.0921529,0.0496133,0.0217926,0.00377992,0.0110155,0.0277157,0.0384019,0.0423434,0.040854,0.03059,0.0238076,0.0143283,0.0525236,0.0803325,0.0817377,0.0751843,0.044256,0.0122177,0.0274639,0.0907748,0.0914218,0.0402736,0.00825845,0.0261189,0.0255727,0.0137284,0.0510557,0.0877332,0.065608,0.0387335,0.0114732,0.0811322,0.166992,0.148062,0.0839152,0.0515265,0.0615564,0.0768056,0.0425212,0.0695243,0.0693869,0.0102147,0.0152989,0.00262081,0.010196,0.0347293,0.0612755,0.11378,0.174906,0.102252,0.0381926,0.0266986,0.0240441,0.00932357,0.0078512,0.0086115
11.888616780,0.0335209,0.00901838,0.0180394,0.0428455,0.056002,0.0193174,0.0181312,0.0245982,0.0137371,0.0277499,0.0916164,0.122579,0.0434106,0.0158161,0.025847,0.0159511,0.0279184,0.0095159,0.0167389,0.031626,0.0325139,0.0237697,0.0600801,0.109084,0.126332,0.0921872,0.0496651,0.0218858,0.00380903,0.0110805,0.0278486,0.0384781,0.0423661,0.040862,0.030656,0.0238665,0.0146249,0.0526706,0.0804028,0.0818543,0.0753574,0.044342,0.0124431,0.0276456,0.0909506,0.0915369,0.0403092,0.00834566,0.0262904,0.0257384,0.0138045,0.0511009,0.0879814,0.0657376,0.0388097,0.0116511,0.0817708,0.167514,0.148106,0.0839539,0.052159,0.061931,0.076953,0.042567,0.0696673,0.0694643,0.0102383,0.0153391,0.00297507,0.0109535,0.0352185,0.0613298,0.113986,0.176512,0.103105,0.0382706,0.0268463,0.0242081,0.00941305,0.00785534,0.00862535
