Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Xb5UAKg5OdTHkg48FdQou,"★","Blackstar","David Bowie",2016-01-08,597933,51,false,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.364,0.525,6,-9.203,1,0.0321,0.208,0.0605,0.183,0.122,98.042,4
spotify:track:7CEjBoE7psDI0hXyZbl6mv,"'Tis A Pity She Was A Whore","Blackstar","David Bowie",2016-01-08,292626,47,true,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.505,0.955,5,-4.539,1,0.125,0.00428,0.058,0.094,0.447,131.998,4
spotify:track:7rFN0DhIFPjAWG1EaHO2F0,"Lazarus","Blackstar","David Bowie",2016-01-08,384453,58,false,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.667,0.691,9,-6.883,0,0.0284,0.0474,0.119,0.087,0.479,129.952,4
spotify:track:0DEslRB6ry2swHIY0aaNzY,"Sue (Or In A Season Of Crime)","Blackstar","David Bowie",2016-01-08,280373,44,false,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.371,0.868,11,-5.695,0,0.0979,0.0245,0.0183,0.58,0.376,170.206,4
spotify:track:6v7gMNeD8eK3HsbMPWlfME,"Girl Loves Me","Blackstar","David Bowie",2016-01-08,291946,46,true,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.696,0.579,10,-7.625,0,0.0505,0.292,0.000182,0.292,0.351,137.01,4
spotify:track:1k5GEEuEoBiklGgmQcD62s,"Dollar Days","Blackstar","David Bowie",2016-01-08,284813,47,false,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.481,0.725,11,-7.116,0,0.049,0.0341,0.0000528,0.0967,0.172,119.876,4
spotify:track:4iXSEbAYfD0G4bqTkQCfSn,"I Can't Give Everything Away","Blackstar","David Bowie",2016-01-08,347280,47,false,meikeenlotte,2026-03-19T11:27:52Z,"glamrock,artrock","Rhino",0.496,0.931,5,-7.005,1,0.0657,0.11,0.049,0.33,0.417,119.989,4
