TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
1.996916100,0,1.19289,0.280747,0.125458,1.39503,0.231596,0.00771186,0.585536,0.293293,3.28069,0.0444464,0
2.043356009,0,1.13875,0.286554,0.121484,1.47059,0.216943,0,0.5621,0.306889,3.29066,0.0888999,0
2.089795918,0,1.13727,0.290188,0.133476,1.55817,0.178722,0,0.58207,0.334377,3.25375,0.0980643,0
2.136235828,0,1.2375,0.292222,0.118289,1.57644,0.132515,0.0087541,0.638976,0.27291,3.19882,0.0504948,0
2.182675737,0,1.48277,0.282537,0.122685,1.62831,0.121531,0,0.678544,0.180517,3.13235,0.0155113,0.0582625
2.229115646,0,1.74847,0.2674,0.108802,1.64873,0.142283,0.00657735,0.652856,0.050378,3.19668,0.0409347,4.86111e-05
2.275555556,0.0142123,1.83634,0.219635,0.154552,1.63085,0.15872,0.0190508,0.621654,0.0121424,3.30343,0.0738729,5.38828e-05
2.321995465,0,1.7378,0.181352,0.269013,1.6831,0.179964,0.0109354,0.583058,0.00490808,3.36298,0.109488,2.94703e-05
2.368435374,0,1.60754,0.178694,0.300516,1.58905,0.258573,0,0.509779,0,3.43762,0.0984888,0
2.414875283,0,1.24894,0.140863,0.096649,1.87027,0.155726,0,0.204899,0.0250496,4.11856,0.0409972,0
2.461315193,0,0.885444,0.0808145,0.0171292,1.87767,0.0217602,0,0.00603889,0.0430121,4.14859,0.0123115,0
2.507755102,0,0.477757,0.0770587,0.00609264,1.7648,0,0,0,0.0385485,4.08923,0.00532425,0
2.554195011,0,0.305228,0.100195,0.0341857,1.79817,0.00169754,0,0,0.0463519,4.14961,0.000147026,0
2.600634921,0,0.296878,0.134725,0.00563951,2.04675,0.0260583,0,0.0052547,0.049638,4.18651,0.0143082,0
2.647074830,0,0.461005,0.297293,0.0117526,2.29544,0.0262176,0,0.0102068,0.0378249,4.24954,0,0
2.693514739,0,0.751317,0.468335,0.0180984,2.38868,0.0263447,0,0.0329038,0.0125426,4.18819,1.52172e-06,0.0285073
2.739954649,0,1.01438,0.503558,0.0205361,2.47379,0.109366,0,0.15363,0,4.03534,0.043351,0.0325406
2.786394558,7.09852e-05,1.15872,0.310053,0.0104753,2.59006,0.130314,0,0.301716,0,3.86018,0.0688572,0.106956
2.832834467,0.000302369,1.23853,0.0870283,0.0272654,2.89174,0.0130565,0,0.328723,0.00386748,3.59598,0.0865404,0.214139
2.879274376,0.000496261,1.31823,0.0377628,0.046523,2.86749,0.0166708,0,0.231582,0.0433249,3.41578,0.117093,0.500023
2.925714286,0.000213314,1.27877,0.130057,0.0814583,2.78279,0.0480683,0,0.16287,0.0507005,3.27782,0.0295078,0.715844
2.972154195,0,1.05667,0.368104,0.0943105,2.48455,0.0797298,0,0.033327,0.0287377,3.48012,0.00973764,0.556293
3.018594104,0.0711524,1.21343,0.434153,0.00945931,2.03542,0,0.00232387,0.0381368,0.00542156,3.67686,0.0275952,0.342551
3.065034014,0.0724434,1.43029,0.316761,0.0349588,1.77518,0.00549122,0.0149302,0,0.0264727,3.81081,0.0292091,0.186716
3.111473923,0.0190829,1.44199,0.249436,0.054936,1.67215,0.0183917,0.0248319,0,0.0158245,3.81473,0.0491852,0.248694
3.157913832,0,1.31761,0.31361,0.0488257,1.45751,0.0174959,0.0493826,0.0202284,0,3.77014,1.37575e-05,0.294983
3.204353741,0.000163259,1.22548,0.367684,0.0387018,1.51248,0.106561,0.0390896,0,0,3.91434,2.20156e-05,0.302098
3.250793651,0.000400112,1.41577,0.427504,0.0474024,1.39363,0.146194,0.0199968,0,0,4.01445,0.0126356,0.250096
3.297233560,0.000542332,1.5121,0.628235,0.0366733,1.5385,0.135777,0.00281278,0,0,4.08681,0.109598,0.0790791
3.343673469,0.000378492,1.40303,0.675825,0.0334784,1.51722,0.0565681,0,0.0233968,0,4.16671,0.135288,0.0417848
3.390113379,0.0427376,1.34032,0.561952,0.0422704,1.67945,0.00225534,0.00283871,0.0429175,0.00456471,4.124,0.122588,0.0376961
3.436553288,0.0828834,1.21621,0.321558,0.0264855,1.59266,0.179457,0.0161179,0.0519044,0.00318347,4.16814,0,0.0964921
3.482993197,0.103484,1.32919,0.195489,0.0208351,1.57683,0.170947,0.00763301,0.118133,0.00156189,4.24521,0,0.114625
3.529433107,0,1.43702,0.119207,0.0130371,1.82784,0.260851,0.00195114,0.137416,0.0194696,4.26567,0.0559808,0.00957351
3.575873016,0.00856216,1.47141,0.152425,0.0336276,1.90267,0.226849,0.0119405,0.067211,0.0240621,4.27844,0.0677197,0
3.622312925,0.132203,1.56392,0.217775,0.0803176,1.90576,0.108173,0.0288723,0.0118245,0.0180964,4.27384,0.0244887,0
3.668752834,0.112359,1.78124,0.197036,0.0774442,1.84041,0.0479313,0.044261,0.0444889,0.0369551,4.24518,0,0
3.715192744,0.0985555,1.88359,0.103095,0.0542197,1.75667,0.019716,0.000798834,0.101101,0.0429487,4.17006,0,0
3.761632653,0.0931667,1.78521,0.0369199,0.0586558,1.78307,0.0343904,0,0.126573,0.0255037,4.0343,0.0147864,0
3.808072562,0.0818918,1.63716,0.0394844,0.0959857,2.06139,0.0231127,0,0.152042,0.00558816,3.83989,0.103647,0
3.854512472,0,1.60444,0.0312742,0.156396,2.12959,0.0257295,0.000235454,0.202736,0.000788125,3.82543,0.117259,0
3.900952381,0,1.65009,0,0.201815,1.86603,0.00920912,0,0.288294,0,3.81104,0.057715,0.247583
3.947392290,0.129914,1.52737,2.85324e-05,0.0887479,1.10999,1.52534,0,0.222268,0.00224897,3.53936,0.000979907,0.020377
3.993832200,0.0993018,1.11586,0.052786,0.0133427,0.765188,2.59771,0,0.00961668,0.0339033,3.20009,0.00735583,0.191293
4.040272109,0.0951408,0.642015,0.00842299,0.00868732,0.785876,2.79352,0,0,0.0310705,2.96613,0.0456554,0.113194
4.086712018,0.129909,0.50655,0.00358641,0.00611189,0.740803,2.79152,0,0,0.0373612,2.96983,0.0855058,0
4.133151927,0.144607,0.567923,0.00320422,0.00308749,0.702544,2.78749,0,0,0.0474862,3.08665,0.0429934,0.0418711
4.179591837,0.137108,0.868753,0.00320335,0.000531304,0.76612,2.75525,0,0.00010895,0.0368745,3.2113,0.00221613,0.0420774
4.226031746,0.127145,1.20165,0.00317118,0.0295618,0.762905,2.6451,0,0,0,3.39013,0.033505,0.0946773
4.272471655,0.121998,1.29151,0.0142464,0.0473545,0.708956,2.60112,0,0.0109677,0,3.55474,0.0793275,0.0857306
4.318911565,0.0899459,1.34836,0.0382917,0.00614486,0.778836,2.55242,0.114375,0.074817,0.00485634,3.69462,0.100216,0.0433426
4.365351474,0.0850105,1.41789,0.0504511,0.0142311,1.03907,2.41719,0.122541,0.150162,0.000511349,3.81637,0.0817557,0.0276047
4.411791383,0.0858546,1.45498,0.0676866,0.0185531,1.26873,2.34665,0,0.146961,0,3.86769,0.00498619,0.108601
