Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7cehkXeGO0t8HosgO42tHl,"Station to Station - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,617720,48,false,meikeenlotte,2026-03-19T11:27:44Z,"glamrock,artrock","Parlophone UK",0.47,0.728,7,-12.031,1,0.0942,0.117,0.000886,0.0426,0.641,121.346,4
spotify:track:4JRem7xHp2l0kmUvt9zCKu,"Golden Years - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,243280,65,false,meikeenlotte,2026-03-19T11:27:44Z,"glamrock,artrock","Parlophone UK",0.68,0.701,6,-10.36,0,0.036,0.316,0.00000472,0.111,0.933,108.287,4
spotify:track:5BebqkBndVuST8jX9UWPqI,"Word on a Wing - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,364946,45,false,meikeenlotte,2026-03-19T11:27:44Z,"glamrock,artrock","Parlophone UK",0.616,0.607,11,-10.777,1,0.0349,0.34,0.00000109,0.1,0.527,98.187,4
spotify:track:25iWKdsAyjB4K3bU3qdyq1,"TVC15 - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,335346,43,false,meikeenlotte,2026-03-19T11:27:44Z,"glamrock,artrock","Parlophone UK",0.633,0.692,0,-11.002,1,0.0268,0.179,0.00000426,0.139,0.915,112.114,4
spotify:track:0tIGiKkTb1US3apjAhW1SG,"Stay - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,376906,46,false,meikeenlotte,2026-03-19T11:27:44Z,"glamrock,artrock","Parlophone UK",0.519,0.902,2,-9.962,1,0.051,0.021,0.000742,0.294,0.624,119.083,4
spotify:track:7ynwkFhXbrQqnMIWqFfRUS,"Wild Is the Wind - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,366360,55,false,meikeenlotte,2026-03-19T11:27:44Z,"glamrock,artrock","Parlophone UK",0.522,0.58,9,-12.914,0,0.0324,0.0156,0.00168,0.0543,0.493,98.489,4
