Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gBRHnW9xeNABYDR2zV8Jj,"Sweet Thing - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,219120,42,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.358,0.399,7,-15.799,1,0.0383,0.718,0.000689,0.438,0.287,119.922,4
spotify:track:66an4cYaszN1PNdCWV8aOm,"Candidate - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,160880,38,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.368,0.734,9,-12.621,0,0.0844,0.803,0,0.831,0.526,129.308,4
spotify:track:7IIBAaeduv0ChewTIUZjZo,"Sweet Thing - Reprise; 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,152640,37,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.295,0.476,0,-15.341,1,0.107,0.643,0.0025,0.751,0.461,122.707,4
spotify:track:2EC9IJj7g0mN1Q5VrZkiYY,"Rebel Rebel - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,274746,70,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,4
spotify:track:0VLd3BXsGTXDzg5oVfpmr8,"Rock 'n' Roll with Me - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,242906,42,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.391,0.474,0,-13.518,1,0.0301,0.405,0,0.0738,0.443,76.22,4
spotify:track:20jwmVY9TLNj9Yl8VbKuCh,"We Are the Dead - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,301773,39,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.373,0.279,5,-16.957,1,0.0413,0.76,0.00000151,0.103,0.287,138.547,4
spotify:track:1VsoNmgANye8Z4qf3XhT3k,"1984 - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,207400,41,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.468,0.637,2,-13.742,0,0.112,0.624,0,0.148,0.554,117.203,4
spotify:track:7pyD032027SPw5Sc0xhfrI,"Big Brother - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,203080,39,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.218,0.463,11,-13.108,0,0.0392,0.543,0.0000478,0.61,0.349,180.138,4
spotify:track:1ihKji1UdshwukWYh3cQK2,"Chant of the Ever Circling Skeletal Family - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,126066,34,false,meikeenlotte,2026-02-16T09:20:00Z,"glamrock,artrock","Parlophone UK",0.489,0.553,9,-14.513,1,0.281,0.0435,0.0000632,0.388,0.402,139.345,3
spotify:track:7cehkXeGO0t8HosgO42tHl,"Station to Station - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,617720,49,false,meikeenlotte,2026-02-16T09:20:13Z,"glamrock,artrock","Parlophone UK",0.47,0.728,7,-12.031,1,0.0942,0.117,0.000886,0.0426,0.641,121.346,4
spotify:track:4JRem7xHp2l0kmUvt9zCKu,"Golden Years - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,243280,64,false,meikeenlotte,2026-02-16T09:20:13Z,"glamrock,artrock","Parlophone UK",0.68,0.701,6,-10.36,0,0.036,0.316,0.00000472,0.111,0.933,108.287,4
spotify:track:5BebqkBndVuST8jX9UWPqI,"Word on a Wing - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,364946,46,false,meikeenlotte,2026-02-16T09:20:13Z,"glamrock,artrock","Parlophone UK",0.616,0.607,11,-10.777,1,0.0349,0.34,0.00000109,0.1,0.527,98.187,4
spotify:track:25iWKdsAyjB4K3bU3qdyq1,"TVC15 - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,335346,44,false,meikeenlotte,2026-02-16T09:20:13Z,"glamrock,artrock","Parlophone UK",0.633,0.692,0,-11.002,1,0.0268,0.179,0.00000426,0.139,0.915,112.114,4
spotify:track:0tIGiKkTb1US3apjAhW1SG,"Stay - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,376906,47,false,meikeenlotte,2026-02-16T09:20:13Z,"glamrock,artrock","Parlophone UK",0.519,0.902,2,-9.962,1,0.051,0.021,0.000742,0.294,0.624,119.083,4
spotify:track:7ynwkFhXbrQqnMIWqFfRUS,"Wild Is the Wind - 2016 Remaster","Station to Station (2016 Remaster)","David Bowie",1976-01-23,366360,55,false,meikeenlotte,2026-02-16T09:20:13Z,"glamrock,artrock","Parlophone UK",0.522,0.58,9,-12.914,0,0.0324,0.0156,0.00168,0.0543,0.493,98.489,4
